ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2618202,G,Podocarpaceae,,Acmopyle,,"pancheri",,"","(Brongn. & Gris) Pilg.",Accepted,,H,WCSP,382074,,"Pflanzenr.","IV, 5: 117","","1903"
kew-2618203,G,Podocarpaceae,,Acmopyle,,"sahniana",,"","Buchholz & N.E.Gray",Accepted,,H,WCSP,382075,828259-1,"J. Arnold Arbor.","28: 142","","1947"
kew-2624883,G,Podocarpaceae,,Afrocarpus,,"dawei",,"","(Stapf) C.N.Page",Accepted,,H,WCSP,382085,946477-1,"Notes Roy. Bot. Gard. Edinburgh","45: 384","","1988 publ. 1989"
kew-2624884,G,Podocarpaceae,,Afrocarpus,,"falcatus",,"","(Thunb.) C.N.Page",Accepted,,H,WCSP,382086,946473-1,"Notes Roy. Bot. Gard. Edinburgh","45: 383","","1988 publ. 1989"
kew-2624886,G,Podocarpaceae,,Afrocarpus,,"gracilior",,"","(Pilg.) C.N.Page",Accepted,,H,WCSP,382088,946474-1,"Notes Roy. Bot. Gard. Edinburgh","45: 383","","1988 publ. 1989"
kew-2624887,G,Podocarpaceae,,Afrocarpus,,"mannii",,"","(Hook.f.) C.N.Page",Accepted,,H,WCSP,382089,946475-1,"Notes Roy. Bot. Gard. Edinburgh","45: 384","","1988 publ. 1989"
kew-2624888,G,Podocarpaceae,,Afrocarpus,,"usambarensis",,"","(Pilg.) C.N.Page",Accepted,,H,WCSP,382090,946476-1,"Notes Roy. Bot. Gard. Edinburgh","45: 384","","1988 publ. 1989"
kew-2755032,G,Podocarpaceae,,Dacrycarpus,,"cinctus",,"","(Pilg.) de Laub.",Accepted,,H,WCSP,383478,687943-1,"J. Arnold Arbor.","50: 322","","1969"
kew-2755033,G,Podocarpaceae,,Dacrycarpus,,"compactus",,"","(Wasscher) de Laub.",Accepted,,H,WCSP,383479,687944-1,"J. Arnold Arbor.","50: 336","","1969"
kew-2755034,G,Podocarpaceae,,Dacrycarpus,,"cumingii",,"","(Parl.) de Laub.",Accepted,,H,WCSP,383480,687945-1,"J. Arnold Arbor.","50: 329","","1969"
kew-2755036,G,Podocarpaceae,,Dacrycarpus,,"dacrydioides",,"","(A.Rich.) de Laub.",Accepted,,H,WCSP,383482,687947-1,"J. Arnold Arbor.","50: 337","","1969"
kew-2755037,G,Podocarpaceae,,Dacrycarpus,,"expansus",,"","de Laub.",Accepted,,H,WCSP,383483,687948-1,"J. Arnold Arbor.","50: 334","","1969"
kew-2755038,G,Podocarpaceae,,Dacrycarpus,,"imbricatus",,"","(Blume) de Laub.",Accepted,,H,WCSP,383484,687949-1,"J. Arnold Arbor.","50: 317","","1969"
kew-2755039,G,Podocarpaceae,,Dacrycarpus,,"imbricatus",var.,"curvulus","(Miq.) de Laub.",Accepted,,L,WCSP,383485,,"J. Arnold Arbor.","50: 326","","1969"
kew-2755041,G,Podocarpaceae,,Dacrycarpus,,"imbricatus",var.,"robustus","de Laub.",Accepted,,L,WCSP,383487,,"J. Arnold Arbor.","50: 323","","1969"
