equation_form,equation_id
10^(a+b*(log10(DBH^c))),4395b40eb0ffe58f2880362b34508ed5
exp(a+b*ln(DBH)),a22cedfb55decd0cba2be2e2d487d2eb
10^(a+b*(log10(DBH))),e328920b5a80f1eaf86d45d55f75ec5d
a*(DBH^b),1346d0eb3d360b70dfe9a967916eb68f
exp(a+b*DBH+c*(ln(DBH))),73a18173297bee3a1951585316e821c1
a+(b*DBH)+c*(DBH^d),07632648016c83efba60fadd06e791c9
a*(DBA^b),64d4129507cc4c4fb8f290e16ef537f1
a*(DBH^2)^b,d2cc5c010dfbd14561bf29987d0e4bd3
a+(b*DBH),a9d9e0d232d5e94ed459949a70f6e7b0
exp(a+(b*ln(DBH)))*645.704*1.05,2bac6024825c325e5017335a07061f42
exp(a+b*ln(DBA)),bd61471bc7962fe08f341f04214652be
a+b*BA,5eeebf30db26ed5eceb4b6b8d97f2a48
exp(a+(b*ln(DBH)))*419.814*1.22,d540aaf3fa757c11c5b5d7324fb34860
a+(b*DBH)+c*(DBH^2)+d*(DBH^3),54f984eeefa9f62eaf433ddeb982e56a
10^(a*DBH^b),60aba2a3a764bf6358626768e2977ea2
exp(a+(b*(ln(pi*DBH)))),b756830e74d133229810e0e8aee8be7f
exp(a+b*(DBH/(DBH+c))),8044c639874ebebb122e1c831655dd9e
NA,c3acee221456366050a5a507da69156f
NA,78c7a2ec0d0b9d3e11e895c40b5a2dc8
NA,810d47ce36a7ee0e156dab354aa06692
NA,8dba80b77cda65e0ad6c8d67959be8d7
NA,35244dee9172fb771b14a3c6f193182b
NA,4d5ee49fad83d49b45df2d9f36ca5709
NA,7967c4004f2b9b133268c13cc0d0f7b1
NA,f8a62f8c0cd29f3b13c7c48018328db0
NA,a38d48ac1c8cc9c9a2c34030bd2af9d8
NA,cb8b9df62ec0f8ad68812982f6bd4795
NA,30464b7fe0aa060b931fb62e7b64fa8b
NA,6947db3a18153bcda3afa63d809c5918
NA,262cd9bbc50249e99f97f9d7119dcf11
NA,2e158fe4de188ae4bf65e7f588ef1cbb
NA,2380580a1c638344092e7fee2506c558
NA,baa9c84aac93fd90bc54e8cf56a759df
NA,efa13aa19d599af5eae696a760215b0e
NA,b208b179da20cc23da1afc764135be6d
NA,4b1aef0d80bbd56fbd3d7f4c3c592f7a
NA,b4f91e8516df9a198809a146585219c0
NA,6201b77b2146847e2fac7b506fd63da8
NA,673214391e461024cb6bc8a9b25c1a07
NA,e0dde5d79dbfb06105d4027a6b9cd205
NA,d856b1560c3e10cf09ed388852faac9c
NA,00d217c8e58c595b7f6d6c78c9e0cffc
NA,fd123f25c8ff4c31708e3613bae54246
NA,1d89de425f1b39410e32d68b09db09e9
NA,6dd4490531e0ab0197e693213c1ec7b4
NA,ea463f07db9086b337139cea4a27097f
NA,4477dc7b76d5eb4dad08f00af0b9eb3d
NA,1fc22ef8fbb14e3dc7274163f58d6c07
NA,51fb315c243428743f79fa142f0d848e
NA,1518c9e6e8c34b25340854fa37dfb94c
NA,b93f8f68853fca9bbf0742a550cacf1c
NA,33041a91f2254a46ff8c063d2e3f0dfc
NA,d35b3f416e192e2276a1f6e530f23334
