biogeographic_zone,region,site,family,species,species_code,life_form,wsg,wsg_id,wsg_specificity,a,b,c,d,dbh_min_cm,dbh_max_cm,sample_size,dbh_units_original,biomass_units_original,allometry_development_method,site_dbh_unit,equation_id,equation_form,equation_allometry,equation_grouping,independent_variable,regression_model,other_equations_tested,log_biomass,bias_corrected,bias_correction_factor,notes_fitting_model,dependent_variable_biomass_component,allometry_specificity,proxy_species,geographic_area,biomass_equation_source,ref_id,wsg_source,ref_wsg_id,original_data_availability,notes_to_consider,warning
Nearctic,North America,Lilly Dicky,Sapindaceae,Acer rubrum,316,Tree,0.49,,,1.1891,1.419,2,,0.21,5.73,,cm,g,harvest,mm,,10^(a+b*(log10(DBH^c))),10^(1.1891+1.419*(log10(dbh^2))),E,DBH,,,,1,1.056,,Total aboveground biomass,Species,,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Nearctic,North America,Lilly Dicky,Sapindaceae,Acer saccharum,318,Tree,0.56,,,1.2315,1.6376,2,,0.19,3.86,,cm,g,harvest,mm,,10^(a+b*(log10(DBH^c))),10^(1.2315+1.6376*(log10(dbh^2))),E,DBH,,,,1,1.016,,Total aboveground biomass,Species,,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Nearctic,North America,Lilly Dicky,Rosaceae,Amelanchier arborea,356,Tree,0.66,,,7.217,1.514,,,8.9,25.4,,cm,g,harvest,mm,,exp(a+b*ln(DBH)),exp(7.217+1.514*log(dbh)),E,DBH,,,,1,included in model,,Stem biomass (with bark),Genus,,Tennessee,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Nearctic,North America,Lilly Dicky,Rosaceae,Amelanchier arborea,356,Tree,0.66,,,2.5368,1.3197,,,5,45,,in,g,harvest,mm,,10^(a+b*(log10(DBH))),10^(2.5368+1.3197*(log10(dbh))),E,DBH,,,,0,NA,,"Branches (live, dead)",Genus,,Minessota,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Nearctic,North America,Lilly Dicky,Rosaceae,Amelanchier arborea,356,Tree,0.66,,,2.0865,2.555,,,5,45,,in,g,harvest,mm,,10^(a+b*(log10(DBH))),10^(2.0865+2.555*(log10(dbh))),E,DBH,,,,0,NA,,Foliage total,Genus,,Minessota,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Nearctic,North America,Lilly Dicky,Annonaceae,Asimina triloba,367,Tree,0.47,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Nearctic,North America,Lilly Dicky,Betulaceae,Carpinus caroliniana,391,Tree,0.58,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Nearctic,North America,Lilly Dicky,Juglandaceae,Carya alba,409,Tree,0.62,,,-1.326,2.762,,,8.2,52.3,10,cm,kg,harvest,mm,,10^(a+b*(log10(DBH))),10^(-1.326+2.762*(log10(dbh))),E,DBH,linear,,1,1,1.005,,Total aboveground biomass,Genus,,North Carolina,Martin et al. 1998,,Jenkins et al. 2004,,,,
Nearctic,North America,Lilly Dicky,Juglandaceae,Carya cordiformis,402,Tree,0.6,,,-1.326,2.762,,,8.2,52.3,10,cm,kg,harvest,mm,,10^(a+b*(log10(DBH))),10^(-1.326+2.762*(log10(dbh))),E,DBH,linear,,1,1,1.005,,Total aboveground biomass,Genus,,North Carolina,Martin et al. 1998,,Jenkins et al. 2004,,,,
Nearctic,North America,Lilly Dicky,Juglandaceae,Carya glabra,403,Tree,0.66,,,-1.326,2.762,,,8.2,52.3,10,cm,kg,harvest,mm,,10^(a+b*(log10(DBH))),10^(-1.326+2.762*(log10(dbh))),E,DBH,linear,,1,1,1.005,,Total aboveground biomass,Genus,,North Carolina,Martin et al. 1998,,Jenkins et al. 2004,,,,
Nearctic,North America,Lilly Dicky,Juglandaceae,Carya ovata,407,Tree,0.62,,,2.034,2.6349,,,5.08,50.8,,in,lb,harvest,mm,,a*(DBH^b),2.034*(dbh^2.6349),E,DBH,,,,1,0,,Stem and branches (live),Species,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Nearctic,North America,Lilly Dicky,Cannabaceae,Celtis occidentalis,462,Tree,0.49,,,-2.48,2.4835,,,2.5,56,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),G,DBH,,,,1,0.36,,Total aboveground biomass,Mixed hardwood,,North America,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Nearctic,North America,Lilly Dicky,Fabaceae,Cercis canadensis,471,Tree,0.63,,,-2.5095,2.5437,,,4,42,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.5095+2.5437*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
Nearctic,North America,Lilly Dicky,Cornaceae,Cornus florida,491,Tree,0.64,,,5.67,1.97,1,,1.85,7.25,,cm,g,harvest,mm,,exp(a+b*DBH+c*(ln(DBH))),exp(5.67+1.97*dbh+1*log(dbh)),E,DBH,,,,0,NA,,Total aboveground biomass,Species,,Ohio,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Nearctic,North America,Lilly Dicky,Rosaceae,Crataegus sp.,500,Shrub,0.62,,,-2.2118,2.4133,,,3,64,,cm,kg,harvest,mm,,exp(a+b*ln(DBH)),exp(-2.2118+2.4133*log(dbh)),G,DBH,,,,1,included in model,,Total aboveground biomass,Family,,North America,Chojnacky et al. 2014,,Jenkins et al. 2004,,,,
Nearctic,North America,Lilly Dicky,Fagaceae,Fagus grandifolia,531,Tree,0.56,,,2.0394,2.5715,,,5.08,50.8,,in,lb,harvest,mm,,a*(DBH^b),2.0394*(dbh^2.5715),E,DBH,,,,1,included in model,,Stem and branches (live),Species ,,West Virginia,Jenkins et al. 2004,,Jenkins et al. 2004,,,,
Nearctic,North America,Lilly Dicky,Oleaceae,Fraxinus americana,541,Tree,0.51,,,3.203,-0.234,0.006,2,25,550,32,mm,kg,harvest,mm,,a+(b*DBH)+c*(DBH^d),3.203+(-0.234*dbh)+0.006*(dbh^2),E,DBH,,,,0,NA,,Whole tree (above stump),Species,,New York,Jenkins et al. 2004,,Jenkins et al. 2004,,0,Unable to locate orignal publication,
